[2019-09-02 12:13:42] [INFO   ] Connecting to the MongoDB database knowingipr 
[2019-09-02 12:13:43] [INFO   ] host: jdbc:mariadb://localhost/knowingipr_knowledge?usePipelineAuth=false
username: root
password: root
driver: org.mariadb.jdbc.Driver 
[2019-09-02 12:13:43] [INFO   ] -------------------------- 
[2019-09-02 12:13:43] [INFO   ] DRIVER: org.mariadb.jdbc.Driver 
[2019-09-02 12:13:43] [INFO   ] Set Login Timeout: 10 
[2019-09-02 12:13:43] [INFO   ] CONNECTION: org.mariadb.jdbc.MariaDbConnection@9bebf19 
[2019-09-02 12:14:05] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_14.jsonl 
[2019-09-02 12:14:05] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_14.jsonl 
[2019-09-02 12:14:05] [FINER  ] Beginning insert 
[2019-09-02 12:14:05] [FINER  ] Inserting done 
[2019-09-02 12:14:05] [FINER  ] Parsing done 
[2019-09-02 12:14:05] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_15.jsonl 
[2019-09-02 12:14:05] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_15.jsonl 
[2019-09-02 12:14:05] [FINER  ] Beginning insert 
[2019-09-02 12:14:05] [FINER  ] Inserting done 
[2019-09-02 12:14:05] [FINER  ] Parsing done 
[2019-09-02 12:14:05] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_16.jsonl 
[2019-09-02 12:14:05] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_16.jsonl 
[2019-09-02 12:14:05] [FINER  ] Beginning insert 
[2019-09-02 12:14:05] [FINER  ] Inserting done 
[2019-09-02 12:14:05] [FINER  ] Parsing done 
[2019-09-02 12:14:05] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_17.jsonl 
[2019-09-02 12:14:05] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_17.jsonl 
